id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
LPAR4	LPAR4	2.61180E+00	0	G protein coupled receptor	BrainSpLMD|2846;Eurexp|euxassay_008259|axial skeleton, basisphenoid bone, clavicle, diaphragm, femur, fibula, footplate, handplate, humerus, knee, metatarsus, midgut, naris, nasal septum, otic capsule, paraxial mesenchyme, phalanx, rest of mesenchyme, rib, skeletal muscle, sternum, stomach, thyroid, tibia, tongue, turbinate bones, ventricle, vertebral axis muscle system	OMIM|300086
ZIC5	ZIC5	2.29156E+00	0	DNA binding protein	BrainSpLMD|85416;BrainSpMouseDev|41618	
FAM107A	FAM107A	2.28359E+00	0	Unclassified	BrainSpLMD|11170;Eurexp|euxassay_005179|inner ear, olfactory	OMIM|608295
FOLH1	FOLH1	2.25824E+00	0	Carboxypeptidase	BrainSpLMD|2346	SFARI||Autism, 5 - Hypothesized but untested;OMIM|600934
HTR2A	HTR2A	2.24754E+00	0	G protein coupled receptor	BrainSpLMD|3356;BrainSpMouseDev|15333	SFARI||Autism, 5 - Hypothesized but untested;OMIM|182135
LAMA3	LAMA3	2.22270E+00	3.89E-15	Extracellular matrix protein	BrainSpLMD|3909;Eurexp|euxassay_011044|epidermis, epithelium, floorplate, incisor, lung, naris, nasal septum, oesophagus, oral epithelium, pharyngo-tympanic tube, urethra, vibrissa;BrainSpMouseDev|16546	OMIM|600805;HPO|3909|Abnormal blistering of the skin, Abnormality of skin pigmentation, Abnormality of the eye, Amelogenesis imperfecta, Anemia, Anonychia, Aplasia cutis congenita, Atrophic scars, Autosomal recessive inheritance, Camptodactyly of finger, Carious teeth, Congenital localized absence of skin, Congenital onset, Death in infancy, Dehydration, Dyspnea, Esophageal stricture, Failure to thrive, Feeding difficulties, Fragile nails, Heterogeneous, Hoarse cry, Hoarse voice, Hypodontia, Hypoplasia of dental enamel, Infantile onset, Junctional split, Laryngeal stenosis, Laryngeal stridor, Milia, Nail dysplasia, Nail dystrophy, Oral mucosal blisters, Palmar hyperhidrosis, Paronychia, Plantar hyperkeratosis, Pyloric stenosis, Recurrent loss of toenails and fingernails, Scarring alopecia of scalp, Skin erosion, Skin ulcer, Sparse body hair, Weak cry
TKTL1	TKTL1	2.15390E+00	0	Enzyme: Transketolase	BrainSpLMD|8277	OMIM|300044
Z83001.1	Z83001.1	2.13202E+00	0			
LRP4	LRP4	2.09593E+00	0	Cell surface receptor	Eurexp|euxassay_011129|alar columns, epithelium, glomeruli, incisor, mantle layer, molar, olfactory, ventricular layer, vibrissa	OMIM|604270;HPO|4038|2-3 finger syndactyly, Abnormal cortical bone morphology, Abnormality of the nose, Autosomal dominant inheritance, Autosomal recessive inheritance, Congenital onset, Craniofacial hyperostosis, Curved distal phalanges of the hand, Cutaneous finger syndactyly, Diaphyseal thickening, Difficulty walking, Downslanted palpebral fissures, Facial palsy, Feeding difficulties, Fingernail dysplasia, Frontal bossing, Hearing impairment, Hypertelorism, Hypoplasia of the radius, Hypoplasia of the ulna, Hyporeflexia, Increased bone mineral density, Macrocephaly, Mandibular prognathia, Micrognathia, Nail dysplasia, Prominent forehead, Ptosis, Renal agenesis, Renal hypoplasia, Sensorineural hearing impairment, Short finger, Syndactyly, Tall stature
STOM	STOM	2.06482E+00	3.33E-16	Integral membrane protein	BrainSpLMD|2040;Eurexp|euxassay_005540|bladder, hindgut, left, midgut, rectum, right, wall	OMIM|133090;HPO|2040|Autosomal dominant inheritance, Hemolytic anemia, Hepatomegaly, Hyperbilirubinemia, Increased intracellular sodium, Increased red cell osmotic fragility, Jaundice, Reticulocytosis, Splenomegaly, Stomatocytosis
S1PR1	S1PR1	2.04615E+00	0	G protein coupled receptor	BrainSpLMD|1901;BrainSpMouseDev|13387	OMIM|601974
